,max,min
信号0,2090.0,0.0
信号1,51.4453125,10.394531
信号2,103.453125,52.390625
信号3,71.0,23.765625
信号4,19.316406,9.875
信号5,69.5,22.230469
信号6,1491.75,500.9375
信号7,1447.0,0.0
信号8,65.921875,39.640625
信号9,76.796875,34.140625
信号10,136.09375,-3.0249025
信号11,136.0,17.6171875
信号12,69.859375,44.9453125
信号13,1422.75,0.0
信号14,0.0,0.0
信号15,465.5625,243.09375
信号16,38.703125,24.90625
信号17,73.109375,5.0595705
信号18,13.4453125,7.178711
信号19,70.015625,2.0
信号20,43.4453125,27.484375
信号21,24.7890625,20.1015625
信号22,1013.625,212.5
信号23,1012.0,192.09375
信号24,1.099365,0.149475
信号25,1.0996095,0.1885985
信号26,20.8046875,4.4384765
信号27,20.832031,4.4433595
信号28,20.785156,4.4208985
信号29,19.785156,8.832031
信号30,375.75,330.0625
信号31,375.875,330.25
信号32,353.1875,44.046875
信号33,102.765625,31.6328125
信号34,351.0,35.15625
信号35,102.140625,30.734375
信号36,22.5625,11.2871095
信号37,128.375,110.46875
信号38,10.970703,2.9526365
信号39,24.1171875,12.136719
信号40,146.53125,98.46875
信号41,126.640625,0.0
信号42,1.0021975,-0.063736
信号43,2.5112305,-0.1579895
信号44,681.25,562.875
信号45,761.75,226.4375
信号46,740.75,568.875
信号47,681.125,562.625
信号48,824.25,226.8125
信号49,699.875,507.8125
信号50,166.3125,-1.852295
信号51,119.453125,91.046875
信号52,112.1875,100.640625
信号53,170.09375,89.40625
信号54,121.421875,109.046875
信号55,108.28125,76.953125
信号56,145.0625,94.78125
信号57,79.421875,67.46875
信号58,81.359375,49.859375
信号59,123.984375,95.015625
信号60,172.53125,88.953125
信号61,175.0,90.40625
信号62,125.171875,94.78125
信号63,171.0625,89.53125
信号64,171.90625,89.609375
信号65,117.078125,109.5625
信号66,122.484375,113.625
信号67,123.515625,112.4375
信号68,116.546875,107.734375
信号69,121.5625,113.125
信号70,122.953125,112.984375
信号71,18.394531,4.6640625
信号72,16.671875,1.164795
信号73,367.0,98.703125
信号74,108.015625,82.46875
信号75,24.691406,18.578125
信号76,360.8125,105.609375
信号77,705.375,562.5
信号78,-0.000175,-0.0003
信号79,465.1875,319.3125
信号80,465.0625,323.25
信号81,699.75,558.875
信号82,1520.0,582.375
信号83,50.0546875,1.1098635000000001
信号84,49.875,1.1447755
信号85,19.5078125,9.2734375
信号86,14.6328125,6.0615235
信号87,128.375,110.4375
信号88,143.84375,96.125
信号89,341.5625,79.03125
信号90,21.7734375,10.669922
信号91,2571.5,2299.5
信号92,4.9921875,-0.24673449999999997
信号93,192.25,167.8125
信号94,176.8125,154.78125
信号95,7.770508,0.6810305
信号96,118.859375,107.21875
信号97,14.996094,-0.0479965
信号98,2023.5,-10.0996095
信号99,49.984375,-1.625
信号100,12.4902345,-0.0074995
信号101,25.003906,-0.0249975
信号102,252.28125,-14.2753905
信号103,112.453125,83.640625
信号104,1.7072755000000002,-0.154999
信号105,171.125,146.0
信号106,128.78125,-0.15625
信号107,5.602539,3.1259765
信号108,4.386719,3.9213864999999997
信号109,202.125,181.5
信号110,31.5703125,27.652344
信号111,32.6796875,28.011719
信号112,31.625,27.066406
信号113,0.3187865,0.055595500000000006
信号114,128.9375,-0.099991
信号115,0.08509850000000001,-0.038192500000000004
信号116,24.09375,20.7265625
信号117,2.32959,0.9317625
信号118,55.7734375,-0.10499549999999999
信号119,48.9609375,44.2890625
信号120,104.828125,0.0
信号121,367.0,0.0
信号122,651.8066,139.55781499999998
信号123,1.9157715,-0.1260985
信号124,5617.0,-19.75
